timestamp,mac,frequency,length,rssi,crc,expected,srcmac,transctr,pkctr,txnumpk,txpower,txifdur,txlength,txfillbyte
2015-04-08_22.34.10,14-15-92-00-12-92-1c-af,11,45,-96,0,0,14-15-92-00-12-91-b2-7b,1,36382,10,0,100,100,0x0a
2015-04-08_22.34.18,14-15-92-00-12-91-b9-5f,11,20,-88,0,0,14-15-92-00-12-91-b2-7b,1,28649,10,0,100,100,0x0a
2015-04-08_22.34.18,14-15-92-00-12-91-c2-d0,11,141,100,1,0,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.20,14-15-92-00-12-91-b0-e0,11,104,-96,0,0,14-15-92-00-12-91-b2-7b,1,53015,10,0,100,100,0x0a
2015-04-08_22.34.24,14-15-92-00-12-91-ce-38,11,94,-96,0,0,14-15-92-00-12-91-b2-7b,1,39948,10,0,100,100,0x0a
2015-04-08_22.34.27,14-15-92-00-12-91-ca-25,11,87,-94,0,0,14-15-92-00-12-91-b2-7b,1,22339,10,0,100,100,0x0a
2015-04-08_22.34.27,14-15-92-00-12-91-c8-34,11,151,-45,0,0,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.28,14-15-92-00-12-91-af-c7,11,228,-45,0,0,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.30,14-15-92-00-12-91-b9-66,11,41,-96,0,0,14-15-92-00-12-91-b2-7b,1,61481,10,0,100,100,0x0a
2015-04-08_22.34.30,14-15-92-00-12-91-cf-07,11,35,-97,0,0,14-15-92-00-12-91-b2-7b,1,40428,10,0,100,100,0x0a
2015-04-08_22.34.32,14-15-92-00-12-91-be-d4,11,26,-83,0,0,14-15-92-00-12-91-b2-7b,1,9765,10,0,100,100,0x0a
2015-04-08_22.34.33,14-15-92-00-12-92-1b-fc,11,69,-97,0,0,14-15-92-00-12-91-b2-7b,1,16779,10,0,100,100,0x0a
2015-04-08_22.34.34,14-15-92-00-12-91-bd-f3,11,183,-45,0,0,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.34,14-15-92-00-12-91-bc-63,11,68,-85,0,0,14-15-92-00-12-91-b2-7b,1,44809,10,0,100,100,0x0a
2015-04-08_22.34.38,14-15-92-00-12-91-c5-f9,11,241,-45,0,0,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.41,14-15-92-00-12-91-c1-c8,11,4,-98,0,0,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.41,14-15-92-00-12-91-c2-0a,11,15,-89,0,0,14-15-92-00-12-91-b2-7b,1,59229,10,0,100,100,0x0a
2015-04-08_22.34.42,14-15-92-00-12-91-b1-8d,11,212,-45,0,0,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.42,14-15-92-00-12-91-cc-61,11,43,-99,0,0,14-15-92-00-12-91-b2-7b,1,4797,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c2-d0,11,100,-82,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c2-d0,11,100,-82,1,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c8-ad,11,100,-83,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b3-81,11,100,-82,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c8-ad,11,100,-83,1,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-ce-b6,11,100,-63,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c4-d2,11,100,-67,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b3-81,11,100,-82,1,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b5-c9,11,100,-80,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b3-25,11,100,-89,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c4-d2,11,100,-67,1,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b3-25,11,100,-89,0,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b5-c9,11,100,-80,1,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-ce-b6,11,100,-63,1,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-cd-82,11,100,-80,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-cd-82,11,100,-80,1,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-bb-ea,11,100,-88,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c5-40,11,100,-80,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-bb-ea,11,100,-88,0,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b0-e0,11,100,-80,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c5-40,11,100,-80,1,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b0-e0,11,100,-80,1,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c6-ba,11,100,-75,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c6-ba,11,100,-75,1,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c6-ba,11,84,-96,0,0,14-15-92-00-12-91-b2-7b,1,14334,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-af-78,11,100,-69,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c0-88,11,100,-78,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b2-46,11,100,-74,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b9-86,11,100,-65,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-bc-2d,11,100,-61,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b6-1a,11,100,-61,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b2-46,11,100,-73,1,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c8-34,11,100,-69,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c2-6d,11,100,-73,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b3-1a,11,100,-79,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-cb-e9,11,100,-76,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-ce-38,11,100,-69,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b7-98,11,100,-72,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c2-6d,11,100,-74,1,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b3-20,11,100,-88,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b5-f1,11,100,-84,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-af-78,11,100,-69,1,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-bc-e9,11,100,-71,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b2-bb,11,100,-77,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-cd-ec,11,100,-78,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-cc-ed,11,100,-88,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b8-43,11,100,-75,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c2-41,11,100,-92,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c9-2a,11,100,-77,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-ba-46,11,100,-78,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b9-86,11,100,-65,1,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b5-f1,11,100,-84,1,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-bb-0a,11,100,-63,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-92-1c-9e,11,100,-58,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
