timestamp,mac,frequency,length,rssi,crc,expected,srcmac,transctr,pkctr,txnumpk,txpower,txifdur,txlength,txfillbyte
2014-11-04_05.46.51,14-15-92-00-12-91-bd-ae,20,100,-58,128,64,14-15-92-00-12-91-cb-96,1,0,2,0,100,100,10
2014-11-04_05.46.51,14-15-92-00-12-91-ba-b9,20,100,-72,128,64,14-15-92-00-12-91-cb-96,1,0,2,0,100,100,10
2014-11-04_05.46.51,14-15-92-00-12-91-ba-b9,20,100,-72,128,64,14-15-92-00-12-91-cb-96,1,1,2,0,100,100,10
2014-11-04_05.46.51,14-15-92-00-12-91-bd-ae,20,100,-58,128,64,14-15-92-00-12-91-cb-96,1,1,2,0,100,100,10
2014-11-04_05.46.54,14-15-92-00-12-91-cb-96,20,100,-74,128,64,14-15-92-00-12-91-ba-b9,2,0,2,0,100,100,10
2014-11-04_05.46.54,14-15-92-00-12-91-cb-96,20,100,-73,128,64,14-15-92-00-12-91-ba-b9,2,1,2,0,100,100,10
2014-11-04_05.46.54,14-15-92-00-12-91-bd-ae,20,100,-81,128,64,14-15-92-00-12-91-ba-b9,2,0,2,0,100,100,10
2014-11-04_05.46.54,14-15-92-00-12-91-bd-ae,20,100,-81,128,64,14-15-92-00-12-91-ba-b9,2,1,2,0,100,100,10
2014-11-04_05.46.57,14-15-92-00-12-91-cb-96,20,100,-54,128,64,14-15-92-00-12-91-bd-ae,3,0,2,0,100,100,10
2014-11-04_05.46.57,14-15-92-00-12-91-cb-96,20,100,-54,128,64,14-15-92-00-12-91-bd-ae,3,1,2,0,100,100,10
2014-11-04_05.46.57,14-15-92-00-12-91-ba-b9,20,100,-82,128,64,14-15-92-00-12-91-bd-ae,3,0,2,0,100,100,10
2014-11-04_05.46.57,14-15-92-00-12-91-ba-b9,20,100,-82,128,64,14-15-92-00-12-91-bd-ae,3,1,2,0,100,100,10
2014-11-04_05.47.01,14-15-92-00-12-91-ba-b9,21,100,-74,128,64,14-15-92-00-12-91-cb-96,4,0,2,0,100,100,10
2014-11-04_05.47.01,14-15-92-00-12-91-bd-ae,21,100,-58,128,64,14-15-92-00-12-91-cb-96,4,0,2,0,100,100,10
2014-11-04_05.47.01,14-15-92-00-12-91-bd-ae,21,100,-58,128,64,14-15-92-00-12-91-cb-96,4,1,2,0,100,100,10
2014-11-04_05.47.01,14-15-92-00-12-91-ba-b9,21,100,-72,128,64,14-15-92-00-12-91-cb-96,4,1,2,0,100,100,10
2014-11-04_05.47.04,14-15-92-00-12-91-cb-96,21,100,-74,128,64,14-15-92-00-12-91-ba-b9,5,0,2,0,100,100,10
2014-11-04_05.47.04,14-15-92-00-12-91-cb-96,21,100,-74,128,64,14-15-92-00-12-91-ba-b9,5,1,2,0,100,100,10
2014-11-04_05.47.04,14-15-92-00-12-91-bd-ae,21,100,-80,128,64,14-15-92-00-12-91-ba-b9,5,0,2,0,100,100,10
2014-11-04_05.47.04,14-15-92-00-12-91-bd-ae,21,100,-80,128,64,14-15-92-00-12-91-ba-b9,5,1,2,0,100,100,10
2014-11-04_05.47.07,14-15-92-00-12-91-cb-96,21,100,-54,128,64,14-15-92-00-12-91-bd-ae,6,0,2,0,100,100,10
2014-11-04_05.47.07,14-15-92-00-12-91-cb-96,21,100,-54,128,64,14-15-92-00-12-91-bd-ae,6,1,2,0,100,100,10
2014-11-04_05.47.07,14-15-92-00-12-91-ba-b9,21,100,-81,128,64,14-15-92-00-12-91-bd-ae,6,0,2,0,100,100,10
2014-11-04_05.47.07,14-15-92-00-12-91-ba-b9,21,100,-81,128,64,14-15-92-00-12-91-bd-ae,6,1,2,0,100,100,10
