Freq;1 to 2;2 to 1;;;1 to 3;3 to 1;;;2 to 3;3 to 2;;;
11;-79;-79;-79,00;14;-74;-74;-74,00;9;-56;-59;-57,50;6;
12;-79;-78;-78,50;12;-75;-74;-74,50;11;-59;-60;-59,50;12;
13;-78;-78;-78,00;11;-74;-73;-73,50;7;-60;-60;-60,00;16;
14;-77;-78;-77,50;10;-74;-74;-74,00;9;-59;-60;-59,50;12;
15;-75;-76;-75,50;7;-74;-72;-73,00;2;-59;-60;-59,50;12;
16;-73;-75;-74,00;5;-73;-71;-72,00;1;-59;-60;-59,50;12;
17;-73;-75;-74,00;5;-74;-72;-73,00;2;-56;-60;-58,00;9;
18;-75;-76;-75,50;7;-74;-72;-73,00;2;-58;-60;-59,00;11;
19;-78;-79;-78,50;12;-74;-72;-73,00;2;-55;-59;-57,00;5;
20;-82;-83;-82,50;16;-74;-72;-73,00;2;-54;-58;-56,00;1;
21;-80;-81;-80,50;15;-74;-73;-73,50;7;-54;-58;-56,00;1;
22;-77;-77;-77,00;9;-76;-74;-75,00;12;-54;-58;-56,00;1;
23;-72;-73;-72,50;2;-79;-78;-78,50;13;-58;-58;-58,00;9;
24;-71;-71;-71,00;1;-81;-80;-80,50;15;-58;-57;-57,50;6;
25;-72;-73;-72,50;2;-81;-80;-80,50;15;-58;-57;-57,50;6;
26;-73;-73;-73,00;4;-81;-79;-80,00;14;-54;-58;-56,00;1;
;;;;;;;;;;;;;
;1;ba-b9;;;;;;;;;;;
;2;bd-ae;;;;;;;;;;;
;3;cb-96;;;;;;;;;;;
