mac,x,y,z
14-15-92-00-12-91-c3-21,3.6,2.5,0.0
14-15-92-00-12-91-c2-3a,3.0,2.5,0.0
14-15-92-00-12-91-cf-17,2.4,2.5,0.0
14-15-92-00-12-91-bd-11,1.8,2.5,0.0
14-15-92-00-12-91-b6-bc,1.2,2.5,0.0
14-15-92-00-12-91-cc-aa,3.6,2.5,0.6
14-15-92-00-12-91-b1-54,3.0,2.5,0.6
14-15-92-00-12-91-b2-7b,2.4,2.5,0.6
14-15-92-00-12-91-bc-2d,1.8,2.5,0.6
14-15-92-00-12-91-bc-b6,1.2,2.5,0.6
14-15-92-00-12-91-c3-c4,3.6,2.5,1.2
14-15-92-00-12-91-c8-a8,3.0,2.5,1.2
14-15-92-00-12-91-c1-5b,2.4,2.5,1.2
14-15-92-00-12-91-b0-34,1.8,2.5,1.2
14-15-92-00-12-91-b4-71,1.2,2.5,1.2
14-15-92-00-12-91-bb-f0,3.6,2.5,1.8
14-15-92-00-12-91-b9-86,3.0,2.5,1.8
14-15-92-00-12-91-be-29,2.4,2.5,1.8
14-15-92-00-12-91-c1-02,1.8,2.5,1.8
14-15-92-00-12-91-b0-b4,1.2,2.5,1.8
14-15-92-00-12-91-af-c7,3.6,2.5,2.4
14-15-92-00-12-91-bc-13,3.0,2.5,2.4
14-15-92-00-12-91-b2-bb,2.4,2.5,2.4
14-15-92-00-12-91-c6-df,1.8,2.5,2.4
14-15-92-00-12-91-c4-c8,1.2,2.5,2.4
14-15-92-00-12-91-c2-6d,3.6,2.5,3.0
14-15-92-00-12-91-b9-66,3.0,2.5,3.0
14-15-92-00-12-91-cb-f3,2.4,2.5,3.0
14-15-92-00-12-91-b5-38,1.8,2.5,3.0
14-15-92-00-12-91-c9-46,1.2,2.5,3.0
14-15-92-00-12-91-c4-69,3.6,2.5,3.6
14-15-92-00-12-91-ca-fe,3.0,2.5,3.6
14-15-92-00-12-91-c6-dc,2.4,2.5,3.6
14-15-92-00-12-91-af-ad,1.8,2.5,3.6
14-15-92-00-12-91-b5-4f,1.2,2.5,3.6
14-15-92-00-12-91-c9-2c,3.6,2.5,4.2
14-15-92-00-12-91-b4-68,3.0,2.5,4.2
14-15-92-00-12-91-c2-b6,2.4,2.5,4.2
14-15-92-00-12-91-c6-9d,1.8,2.5,4.2
14-15-92-00-12-91-c0-e8,1.2,2.5,4.2
14-15-92-00-12-91-cd-ec,3.6,2.5,4.8
14-15-92-00-12-91-c7-21,3.0,2.5,4.8
14-15-92-00-12-91-c7-f0,2.4,2.5,4.8
14-15-92-00-12-91-c8-f3,1.8,2.5,4.8
14-15-92-00-12-91-ce-61,1.2,2.5,4.8
14-15-92-00-12-91-b2-bf,3.6,2.5,5.4
14-15-92-00-12-91-bd-2d,3.0,2.5,5.4
14-15-92-00-12-91-be-4d,2.4,2.5,5.4
14-15-92-00-12-91-b8-43,1.8,2.5,5.4
14-15-92-00-12-91-ba-95,1.2,2.5,5.4
14-15-92-00-12-91-ba-46,3.6,2.5,6.0
14-15-92-00-12-91-be-4b,3.0,2.5,6.0
14-15-92-00-12-91-b9-5f,2.4,2.5,6.0
14-15-92-00-12-91-1c-e4,1.8,2.5,6.0
14-15-92-00-12-91-c8-7e,1.2,2.5,6.0
14-15-92-00-12-91-c4-c2,3.0,2.5,6.6
14-15-92-00-12-91-cb-e9,2.4,2.5,6.6
14-15-92-00-12-91-c5-c8,1.8,2.5,6.6
14-15-92-00-12-91-c3-d6,1.2,2.5,6.6
14-15-92-00-12-91-c0-88,3.6,2.5,7.2
14-15-92-00-12-91-c1-1c,3.0,2.5,7.2
14-15-92-00-12-91-c1-1e,2.4,2.5,7.2
14-15-92-00-12-91-bc-63,1.2,2.5,7.2
14-15-92-00-12-91-c8-ad,3.6,2.5,7.8
14-15-92-00-12-91-c2-86,3.0,2.5,7.8
14-15-92-00-12-91-bc-48,2.4,2.5,7.8
14-15-92-00-12-91-ce-d3,1.8,2.5,7.8
14-15-92-00-12-91-c6-89,3.6,2.5,8.4
14-15-92-00-12-91-c0-dc,3.0,2.5,8.4
14-15-92-00-12-91-b0-1f,2.4,2.5,8.4
14-15-92-00-12-91-bb-ea,1.8,2.5,8.4
14-15-92-00-12-91-cb-78,1.2,2.5,8.4
14-15-92-00-12-91-cc-ed,3.6,2.5,9.0
14-15-92-00-12-91-cb-08,3.0,2.5,9.0
14-15-92-00-12-91-c9-73,2.4,2.5,9.0
14-15-92-00-12-91-c2-41,1.8,2.5,9.0
14-15-92-00-12-91-ba-bc,1.2,2.5,9.0
14-15-92-00-12-91-b5-f1,3.6,2.5,9.6
14-15-92-00-12-91-c8-c8,3.0,2.5,9.6
14-15-92-00-12-91-c6-40,2.4,2.5,9.6
14-15-92-00-12-91-ca-25,1.8,2.5,9.6
14-15-92-00-12-91-b6-59,1.2,2.5,9.6
14-15-92-00-12-91-b5-cc,3.6,2.5,10.2
14-15-92-00-12-91-b2-c1,3.0,2.5,10.2
14-15-92-00-12-91-cd-82,2.4,2.5,10.2
14-15-92-00-12-91-b3-25,1.8,2.5,10.2
14-15-92-00-12-91-cc-1b,1.2,2.5,10.2
14-15-92-00-12-91-b4-2b,3.6,2.5,10.8
14-15-92-00-12-91-c4-ea,3.0,2.5,10.8
14-15-92-00-12-91-b6-a3,2.4,2.5,10.8
14-15-92-00-12-91-b3-1a,1.8,2.5,10.8
14-15-92-00-12-91-b3-81,1.2,2.5,10.8
14-15-92-00-12-91-c3-42,3.6,3.4,0.0
14-15-92-00-12-91-c0-ab,3.0,3.4,0.0
14-15-92-00-12-91-c8-3b,2.4,3.4,0.0
14-15-92-00-12-91-b3-6b,1.8,3.4,0.0
14-15-92-00-12-91-b4-db,1.2,3.4,0.0
14-15-92-00-12-91-b8-71,3.6,3.4,0.6
14-15-92-00-12-91-bd-e6,3.0,3.4,0.6
14-15-92-00-12-91-bc-c4,2.4,3.4,0.6
14-15-92-00-12-91-be-f4,1.8,3.4,0.6
14-15-92-00-12-91-1c-9e,1.2,3.4,0.6
14-15-92-00-12-91-af-78,3.6,3.4,1.2
14-15-92-00-12-91-ca-e0,3.0,3.4,1.2
14-15-92-00-12-91-c3-e5,2.4,3.4,1.2
14-15-92-00-12-91-b8-3b,1.8,3.4,1.2
14-15-92-00-12-91-bf-14,1.2,3.4,1.2
14-15-92-00-12-91-cf-2e,3.6,3.4,1.8
14-15-92-00-12-91-bd-f3,3.0,3.4,1.8
14-15-92-00-12-91-b6-1a,2.4,3.4,1.8
14-15-92-00-12-91-ce-b6,1.8,3.4,1.8
14-15-92-00-12-91-c7-35,1.2,3.4,1.8
14-15-92-00-12-91-bb-0a,3.6,3.4,2.4
14-15-92-00-12-91-c4-d2,3.0,3.4,2.4
14-15-92-00-12-91-bc-e9,2.4,3.4,2.4
14-15-92-00-12-91-ba-9d,1.8,3.4,2.4
14-15-92-00-12-91-ce-3a,1.2,3.4,2.4
14-15-92-00-12-91-1b-fa,3.6,3.4,3.0
14-15-92-00-12-91-c8-34,3.0,3.4,3.0
14-15-92-00-12-91-1f-91,2.4,3.4,3.0
14-15-92-00-12-91-bb-b4,1.8,3.4,3.0
14-15-92-00-12-91-1f-9e,1.2,3.4,3.0
14-15-92-00-12-91-c7-4d,3.6,3.4,3.6
14-15-92-00-12-91-c6-f5,3.0,3.4,3.6
14-15-92-00-12-91-b8-db,2.4,3.4,3.6
14-15-92-00-12-91-1c-af,1.8,3.4,3.6
14-15-92-00-12-91-c9-2a,1.2,3.4,3.6
14-15-92-00-12-91-bb-a2,3.6,3.4,4.2
14-15-92-00-12-91-c2-0a,3.0,3.4,4.2
14-15-92-00-12-91-ca-c8,2.4,3.4,4.2
14-15-92-00-12-91-bd-ef,1.8,3.4,4.2
14-15-92-00-12-91-b7-98,1.2,3.4,4.2
14-15-92-00-12-91-c1-98,3.6,3.4,4.8
14-15-92-00-12-91-c2-d0,3.0,3.4,4.8
14-15-92-00-12-91-bf-4d,2.4,3.4,4.8
14-15-92-00-12-91-c3-b1,1.8,3.4,4.8
14-15-92-00-12-91-b7-23,1.2,3.4,4.8
14-15-92-00-12-91-b7-48,3.6,3.4,5.4
14-15-92-00-12-91-1b-fc,3.0,3.4,5.4
14-15-92-00-12-91-b5-84,2.4,3.4,5.4
14-15-92-00-12-91-b1-8d,1.8,3.4,5.4
14-15-92-00-12-91-b5-c9,1.2,3.4,5.4
14-15-92-00-12-91-c5-06,3.6,3.4,6.0
14-15-92-00-12-91-bc-d3,3.0,3.4,6.0
14-15-92-00-12-91-cd-df,2.4,3.4,6.0
14-15-92-00-12-91-bc-46,1.8,3.4,6.0
14-15-92-00-12-91-b9-84,1.2,3.4,6.0
14-15-92-00-12-91-ce-38,3.6,3.4,6.6
14-15-92-00-12-91-b2-b8,3.0,3.4,6.6
14-15-92-00-12-91-bc-12,2.4,3.4,6.6
14-15-92-00-12-91-cb-0c,1.8,3.4,6.6
14-15-92-00-12-91-c5-f9,1.2,3.4,6.6
14-15-92-00-12-91-b2-46,3.6,3.4,7.2
14-15-92-00-12-91-c2-2f,3.0,3.4,7.2
14-15-92-00-12-91-b0-e0,2.4,3.4,7.2
14-15-92-00-12-91-cf-07,1.8,3.4,7.2
14-15-92-00-12-91-b8-c6,1.2,3.4,7.2
14-15-92-00-12-91-b2-82,3.6,3.4,7.8
14-15-92-00-12-91-c1-67,3.0,3.4,7.8
14-15-92-00-12-91-c5-34,2.4,3.4,7.8
14-15-92-00-12-91-b3-1c,1.8,3.4,7.8
14-15-92-00-12-91-bc-60,1.2,3.4,7.8
14-15-92-00-12-91-cd-ba,3.6,3.4,8.4
14-15-92-00-12-91-c7-03,3.0,3.4,8.4
14-15-92-00-12-91-cd-29,2.4,3.4,8.4
14-15-92-00-12-91-c3-a3,1.8,3.4,8.4
14-15-92-00-12-91-cc-1d,1.2,3.4,8.4
14-15-92-00-12-91-c6-ba,3.6,3.4,9.0
14-15-92-00-12-91-b3-20,3.0,3.4,9.0
14-15-92-00-12-91-cc-61,2.4,3.4,9.0
14-15-92-00-12-91-b1-f4,1.8,3.4,9.0
14-15-92-00-12-91-b4-6b,1.2,3.4,9.0
14-15-92-00-12-91-c7-aa,3.6,3.4,9.6
14-15-92-00-12-91-c5-40,3.0,3.4,9.6
14-15-92-00-12-91-ba-5e,2.4,3.4,9.6
14-15-92-00-12-91-b3-bd,1.8,3.4,9.6
14-15-92-00-12-91-bc-23,1.2,3.4,9.6
14-15-92-00-12-91-c6-25,3.6,3.4,10.2
14-15-92-00-12-91-be-d4,3.0,3.4,10.2
14-15-92-00-12-91-1f-7a,2.4,3.4,10.2
14-15-92-00-12-91-c1-c8,1.8,3.4,10.2
14-15-92-00-12-91-bf-29,1.2,3.4,10.2
14-15-92-00-12-91-c3-04,3.6,3.4,10.8
14-15-92-00-12-91-c3-70,3.0,3.4,10.8
14-15-92-00-12-91-c9-1c,2.4,3.4,10.8
14-15-92-00-12-91-c0-35,1.8,3.4,10.8
14-15-92-00-12-91-c5-fe,1.2,3.4,10.8
14-15-92-00-12-91-c9-13,0.0,3.28,11.32
14-15-92-00-12-91-ce-49,0.6,3.28,11.32
14-15-92-00-12-91-bb-da,1.2,3.28,11.32
14-15-92-00-12-91-af-f2,1.8,3.28,11.32
14-15-92-00-12-91-ca-e8,2.4,3.28,11.32
14-15-92-00-12-91-bd-d1,3.0,3.28,11.32
14-15-92-00-12-91-b6-8e,3.6,3.28,11.32
14-15-92-00-12-91-cb-6a,4.2,3.28,11.32
14-15-92-00-12-91-cc-68,4.8,3.28,11.32
14-15-92-00-12-91-c3-6b,0.0,2.67,11.32
