mac,x,y,z
14-15-92-00-12-91-b2-ce,4.25,27.67,1.98
14-15-92-00-12-91-bd-c0,4.57,27.37,2.7
14-15-92-00-12-91-cd-f2,5.67,27.37,2.22
14-15-92-00-12-91-c6-c0,6.36,27.37,2.8
14-15-92-00-12-91-b2-7c,7.4,27.37,2.42
14-15-92-00-12-91-bf-c6,8.15,27.37,2.85
14-15-92-00-12-91-b3-9e,9.13,27.37,2.28
14-15-92-00-12-91-b0-7f,10.4,27.37,2.37
14-15-92-00-12-91-c7-e6,11.36,27.37,2.8
14-15-92-00-12-91-be-ed,12.53,27.37,2.3
14-15-92-00-12-91-bb-40,13.75,27.37,2.65
14-15-92-00-12-91-c1-fe,3.03,28.07,2.54
14-15-92-00-12-91-b8-07,3.83,28.07,2.54
14-15-92-00-12-91-b2-ca,4.8,28.07,2.54
14-15-92-00-12-91-b0-20,5.74,28.07,2.54
14-15-92-00-12-91-b6-d8,6.76,28.07,2.54
14-15-92-00-12-91-c6-31,7.86,28.07,2.54
14-15-92-00-12-91-cc-8b,8.93,28.07,2.54
14-15-92-00-12-91-b0-3d,10.13,28.07,2.54
14-15-92-00-12-91-c2-4c,11.28,28.07,2.54
14-15-92-00-12-91-cc-0d,12.18,28.07,2.54
14-15-92-00-12-91-b0-47,13.18,28.07,2.54
14-15-92-00-12-91-bc-97,14.18,28.07,2.54
14-15-92-00-12-91-c1-3d,14.93,28.07,2.54
14-15-92-00-12-91-be-d2,15.73,28.07,2.54
14-15-92-00-12-91-b1-cb,1.98,29.35,3.6
14-15-92-00-12-91-b9-4f,3.13,29.35,3.6
14-15-92-00-12-91-c3-3e,4.08,29.35,3.6
14-15-92-00-12-91-1c-be,5.18,29.35,3.6
14-15-92-00-12-91-cc-c8,6.38,29.35,3.6
14-15-92-00-12-91-b1-a5,7.45,29.35,3.6
14-15-92-00-12-91-b6-3b,8.3,29.35,3.6
14-15-92-00-12-91-c7-8e,8.8,29.35,3.6
14-15-92-00-12-91-b9-02,10.17,29.35,3.6
14-15-92-00-12-91-c4-43,11.08,29.35,3.6
14-15-92-00-12-91-b6-15,12.12,29.35,3.6
14-15-92-00-12-91-cf-33,12.89,29.35,3.6
14-15-92-00-12-91-b8-bd,14.11,29.35,3.6
