mac,x,y,z
14-15-92-00-12-91-ca-f5,-4.62,0.14,2.912
14-15-92-00-12-91-ca-73,-4.62,0.744,2.912
14-15-92-00-12-91-c8-8c,-4.62,1.348,2.911
14-15-92-00-12-91-b1-c3,-4.62,2.556,2.911
14-15-92-00-12-91-b7-04,-4.62,3.765,2.91
14-15-92-00-12-91-c3-51,-4.62,4.369,2.91
14-15-92-00-12-91-bc-98,-4.62,4.973,2.91
14-15-92-00-12-91-b3-44,-4.62,5.577,2.909
14-15-92-00-12-91-c5-9b,-4.62,6.181,2.909
14-15-92-00-12-91-c0-9a,-4.62,7.389,2.908
14-15-92-00-12-91-bd-6e,-4.62,7.994,2.908
14-15-92-00-12-91-c0-e9,-4.62,8.598,2.908
14-15-92-00-12-91-ca-0a,-4.62,9.202,2.907
14-15-92-00-12-91-b5-83,-4.62,9.806,2.907
14-15-92-00-12-91-b8-d6,-4.62,10.41,2.907
14-15-92-00-12-91-c5-79,-4.62,11.014,2.907
14-15-92-00-12-91-be-eb,-4.62,11.618,2.906
14-15-92-00-12-91-c5-e7,-4.62,12.222,2.906
14-15-92-00-12-91-c2-bb,-4.62,12.826,2.906
14-15-92-00-12-91-1c-15,-4.62,13.431,2.905
14-15-92-00-12-91-cb-97,-4.62,14.035,2.905
14-15-92-00-12-91-b4-bc,-3.796,0.14,2.912
14-15-92-00-12-91-b5-02,-3.796,0.744,2.912
14-15-92-00-12-91-c8-9a,-3.796,1.348,2.911
14-15-92-00-12-91-c3-2c,-3.796,1.952,2.911
14-15-92-00-12-91-b7-92,-3.796,2.556,2.911
14-15-92-00-12-91-c3-a8,-3.796,3.161,2.91
14-15-92-00-12-91-c7-a8,-3.796,3.765,2.91
14-15-92-00-12-91-ba-43,-3.796,4.369,2.91
14-15-92-00-12-91-c7-cf,-3.796,5.577,2.909
14-15-92-00-12-91-b9-20,-3.796,6.181,2.909
14-15-92-00-12-91-bd-97,-3.796,6.785,2.909
14-15-92-00-12-91-ba-fb,-3.796,7.389,2.908
14-15-92-00-12-91-b8-1d,-3.796,7.994,2.908
14-15-92-00-12-91-b5-25,-3.796,8.598,2.908
14-15-92-00-12-91-c0-32,-3.796,9.202,2.907
14-15-92-00-12-91-c4-75,-3.796,9.806,2.907
14-15-92-00-12-91-b1-92,-3.796,10.41,2.907
14-15-92-00-12-91-bc-d2,-3.796,11.014,2.907
