mac,x,y,z
14-15-92-00-12-91-c0-d8,0.93,0.98,0.5
14-15-92-00-12-91-b2-a7,0.93,0.98,1.5
14-15-92-00-12-91-c6-f0,0.93,0.98,2.5
14-15-92-00-12-91-bc-ab,1.93,0.98,0.5
14-15-92-00-12-91-c6-6a,1.93,0.98,1.5
14-15-92-00-12-91-b2-22,1.93,0.98,2.5
14-15-92-00-12-91-b0-12,2.93,0.98,0.5
14-15-92-00-12-91-c5-ac,2.93,0.98,1.5
14-15-92-00-12-91-be-f2,2.93,0.98,2.5
14-15-92-00-12-91-b7-b2,3.93,0.98,0.5
14-15-92-00-12-91-b9-f1,3.93,0.98,1.5
14-15-92-00-12-91-c2-23,3.93,0.98,2.5
14-15-92-00-12-91-c3-a0,4.93,0.98,0.5
14-15-92-00-12-91-cb-40,4.93,0.98,1.5
14-15-92-00-12-91-bd-81,4.93,0.98,2.5
14-15-92-00-12-91-af-a3,5.93,0.98,0.5
14-15-92-00-12-91-be-5a,5.93,0.98,1.5
14-15-92-00-12-91-1b-f9,5.93,0.98,2.5
14-15-92-00-12-91-bc-a1,6.93,0.98,0.5
14-15-92-00-12-91-c1-c3,6.93,0.98,1.5
14-15-92-00-12-91-c6-ce,6.93,0.98,2.5
14-15-92-00-12-91-c5-d4,7.93,0.98,0.5
14-15-92-00-12-91-ba-38,7.93,0.98,1.5
14-15-92-00-12-91-1f-59,7.93,0.98,2.5
14-15-92-00-12-91-b8-62,0.93,1.98,0.5
14-15-92-00-12-91-b5-e1,0.93,1.98,1.5
14-15-92-00-12-91-bb-10,0.93,1.98,2.5
14-15-92-00-12-91-c6-8a,1.93,1.98,0.5
14-15-92-00-12-91-b5-76,1.93,1.98,1.5
14-15-92-00-12-91-b3-43,1.93,1.98,2.5
14-15-92-00-12-91-c1-9f,2.93,1.98,0.5
14-15-92-00-12-91-1c-ef,2.93,1.98,1.5
14-15-92-00-12-91-c2-25,2.93,1.98,2.5
14-15-92-00-12-91-bc-7a,3.93,1.98,0.5
14-15-92-00-12-91-ba-03,3.93,1.98,1.5
14-15-92-00-12-91-c2-62,3.93,1.98,2.5
14-15-92-00-12-91-ba-7f,4.93,1.98,0.5
14-15-92-00-12-91-b6-14,4.93,1.98,1.5
14-15-92-00-12-91-be-35,4.93,1.98,2.5
